Model,Price Level Id,Feature Id,Price
Tomcat F22,9,1013,$0.00 
Tomcat F22,9,1014,$280.00 
Tomcat F22,9,1016,"$1,440.00 "
Tomcat F22,9,1018,"$1,100.00 "
Tomcat F22,14,1001,"$3,595.00 "
Tomcat F22,14,1002,"$12,000.00 "
Tomcat F22,14,1003,$0.00 
Tomcat F22,14,1004,$700.00 
Tomcat F22,14,1005,$150.00 
Tomcat F22,14,1007,$0.00 
Tomcat F22,14,1107,$0.00 
Tomcat F22,14,1008,"$2,200.00 "
Tomcat F22,14,1108,"$2,200.00 "
Tomcat F22,14,1009,$0.00 
Tomcat F22,14,1010,$0.00 
Tomcat F22,14,2011,"$2,800.00 "
Tomcat F22,14,1012,$325.00 
Tomcat F22,14,1013,$0.00 
Tomcat F22,14,1014,$0.00 
Tomcat F22,14,1016,"$1,440.00 "
Tomcat F22,14,1018,"$1,100.00 "
Tomcat F22,19,1001,"$3,595.00 "
Tomcat F22,19,1002,"$12,000.00 "
Tomcat F22,19,1003,$0.00 
Tomcat F22,19,1004,$700.00 
Tomcat F22,19,1005,$150.00 
Tomcat F22,19,1007,$0.00 
Tomcat F22,19,1107,$0.00 
Tomcat F22,19,1008,"$2,200.00 "
Tomcat F22,19,1108,"$2,200.00 "
Tomcat F22,19,1009,$0.00 
Tomcat F22,19,1010,$0.00 
Tomcat F22,19,2011,"$1,400.00 "
Tomcat F22,19,1012,$325.00 
Tomcat F22,19,1013,$0.00 
Tomcat F22,19,1014,$280.00 
Tomcat F22,19,1016,"$1,440.00 "
Tomcat F22,19,1018,"$1,100.00 "
Tomcat F22,102,1001,"$3,595.00 "
Tomcat F22,102,1002,"$12,000.00 "
Tomcat F22,102,1003,$325.00 
Tomcat F22,102,1004,$700.00 
Tomcat F22,102,1005,$140.00 
Tomcat F22,102,1007,"$1,600.00 "
Tomcat F22,102,1107,"$1,600.00 "
Tomcat F22,102,1008,"$2,200.00 "
Tomcat F22,102,1108,"$2,200.00 "
Tomcat F22,102,1009,$900.00 
Tomcat F22,102,1010,$325.00 
Tomcat F22,102,2011,"$2,300.00 "
Tomcat F22,102,1012,$295.00 
Tomcat F22,102,1013,$795.00 
Tomcat F22,102,1014,$280.00 
Tomcat F22,102,1016,"$1,440.00 "
Tomcat F22,102,1018,"$1,100.00 "
Tomcat F21,-1,1001,"$6,995.00 "
Tomcat F21,-1,1002,"$15,995.00 "
Tomcat F21,-1,1003,$500.00 
Tomcat F21,-1,1004,"$1,075.00 "
Tomcat F21,-1,1005,$215.00 
Tomcat F21,-1,1007,"$2,425.00 "
Tomcat F21,-1,1107,"$2,425.00 "
Tomcat F21,-1,1008,"$3,495.00 "
Tomcat F21,-1,1108,"$3,495.00 "
Tomcat F21,-1,1009,"$1,465.00 "
Tomcat F21,-1,1010,$450.00 
Tomcat F21,-1,2011,"$3,495.00 "
Tomcat F21,-1,1012,$450.00 
Tomcat F21,-1,1013,"$1,225.00 "
Tomcat F21,-1,1014,$580.00 
Tomcat F21,-1,1015,"$1,600.00 "
Tomcat F21,-1,1016,"$1,895.00 "
Tomcat F21,-1,1017,$500.00 
Tomcat F21,-1,1018,"$1,600.00 "
Tomcat F22,-1,1001,"$6,995.00 "
Tomcat F22,-1,1002,"$15,995.00 "
Tomcat F22,-1,1003,$500.00 
Tomcat F22,-1,1004,"$1,075.00 "
Tomcat F22,-1,1005,$215.00 
Tomcat F22,-1,1007,"$2,425.00 "
Tomcat F22,-1,1107,"$2,425.00 "
Tomcat F22,-1,1008,"$3,495.00 "
Tomcat F22,-1,1108,"$3,495.00 "
Tomcat F22,-1,1009,"$1,465.00 "
Tomcat F22,-1,1010,$450.00 
Tomcat F22,-1,2011,"$3,495.00 "
Tomcat F22,-1,1012,$450.00 
Tomcat F22,-1,1013,"$1,225.00 "
Tomcat F22,-1,1014,$580.00 
Tomcat F22,-1,1015,"$1,600.00 "
Tomcat F22,-1,1016,"$1,895.00 "
Tomcat F22,-1,1017,$500.00 
Tomcat F22,-1,1018,"$1,600.00 "
Tomcat F24,-1,1001,"$6,995.00 "
Tomcat F24,-1,1002,"$15,995.00 "
Tomcat F24,-1,1003,$500.00 
Tomcat F24,-1,1004,"$1,075.00 "
Tomcat F24,-1,1005,$215.00 
Tomcat F24,-1,1007,"$2,425.00 "
Tomcat F24,-1,1107,"$2,425.00 "
Tomcat F24,-1,1008,"$3,495.00 "
Tomcat F24,-1,1108,"$3,495.00 "
Tomcat F24,-1,1009,"$1,465.00 "
Tomcat F24,-1,1010,$450.00 
Tomcat F24,-1,2011,"$3,495.00 "
Tomcat F24,-1,1012,$450.00 
Tomcat F24,-1,1013,"$1,225.00 "
Tomcat F24,-1,1014,$580.00 
Tomcat F24,-1,1016,"$1,895.00 "
Tomcat F24,-1,1018,"$1,600.00 "
B52 21,-1,1001,"$6,995.00 "
B52 21,-1,1002,"$15,995.00 "
B52 21,-1,1003,$500.00 
B52 21,-1,1004,"$1,075.00 "
B52 21,-1,1005,$215.00 
B52 21,-1,1007,"$2,425.00 "
B52 21,-1,1107,"$2,425.00 "
B52 21,-1,1008,"$3,495.00 "
B52 21,-1,1108,"$3,495.00 "
B52 21,-1,1009,"$1,465.00 "
B52 21,-1,1010,$450.00 
B52 21,-1,2011,"$3,495.00 "
B52 21,-1,1012,$450.00 
B52 21,-1,1013,"$1,225.00 "
B52 21,-1,1014,$580.00 
B52 21,-1,1015,"$1,600.00 "
B52 21,-1,1016,"$1,895.00 "
B52 21,-1,1017,$500.00 
B52 21,-1,1018,"$1,600.00 "
B52 23,-1,1001,"$6,995.00 "
B52 23,-1,1002,"$15,995.00 "
B52 23,-1,1003,$500.00 
B52 23,-1,1004,"$1,075.00 "
B52 23,-1,1005,$215.00 
B52 23,-1,1007,"$2,425.00 "
B52 23,-1,1107,"$2,425.00 "
B52 23,-1,1008,"$3,495.00 "
B52 23,-1,1108,"$3,495.00 "
B52 23,-1,1009,"$1,465.00 "
B52 23,-1,1010,$450.00 
B52 23,-1,2011,"$3,495.00 "
B52 23,-1,1012,$450.00 
B52 23,-1,1013,"$1,225.00 "
B52 23,-1,1014,$580.00 
B52 23,-1,1015,"$1,600.00 "
B52 23,-1,1016,"$1,895.00 "
B52 23,-1,1017,$500.00 
B52 23,-1,1018,"$1,600.00 "
